course_id,title,university,ects,language,semester,description,tags,popularity
C001,Data Ethics and Society,TU Wien,3,English,Winter,"This course introduces ethical legal and societal questions around data-driven systems and artificial intelligence.","ethics,AI,data,society,law",0.72
C002,Sustainable Urban Mobility,TU Wien,3,English,Summer,"Students learn about sustainable transport systems urban planning and climate-friendly mobility concepts.","sustainability,mobility,climate,urban planning",0.41
C003,Public Speaking and Rhetoric,Uni Wien,4,German,Both,"The course trains presentation skills argumentation and confident communication in academic and professional contexts.","communication,presentation,soft skills,rhetoric",0.88
C004,Entrepreneurship Basics,WU,3,English,Winter,"Introduction to business model design startup thinking and entrepreneurial decision-making.","entrepreneurship,business,innovation,startups",0.76
C005,Climate Change and Society,BOKU,3,English,Summer,"This course discusses climate change mitigation adaptation and the social consequences of environmental transformation.","climate,sustainability,society,environment",0.52
C006,Applied Machine Learning,TU Wien,6,English,Winter,"Students build machine learning models for classification prediction and decision support with practical datasets.","AI,machine learning,data science,python",0.84
C007,Intercultural Communication,Uni Wien,3,English,Both,"The course explores communication across cultures conflict styles and collaboration in international study and work settings.","communication,intercultural,collaboration,language",0.57
C008,Environmental Policy and Governance,BOKU,4,English,Winter,"Students analyze environmental policy instruments governance structures and stakeholder participation in sustainability transitions.","policy,sustainability,environment,governance",0.38
C009,Digital Business Models,WU,3,English,Summer,"This course covers platform economics digital value creation and business models for technology-driven markets.","business,digitalization,economics,innovation",0.69
C010,Design Thinking for Social Innovation,WU,3,English,Both,"Students apply design thinking methods to social innovation challenges with user research prototyping and testing.","design thinking,innovation,society,prototyping",0.62
C011,Psychology of Learning,Uni Wien,4,German,Winter,"The course introduces motivation cognition memory and evidence-based learning strategies for educational contexts.","psychology,learning,education,motivation",0.46
C012,Project Management in Practice,TU Wien,3,German,Both,"Students learn project planning agile teamwork risk management and communication for interdisciplinary projects.","project management,agile,teamwork,communication",0.81
C013,Health Promotion and Wellbeing,Uni Wien,3,English,Summer,"The course discusses stress prevention mental health health literacy and wellbeing in university and workplace settings.","health,wellbeing,psychology,prevention",0.44
C014,Climate Data Analysis,BOKU,6,English,Winter,"Students work with environmental datasets to analyze climate trends uncertainty and impacts using statistical methods.","climate,data science,statistics,environment",0.49
C015,Law for Digital Technologies,WU,3,German,Winter,"This course gives an overview of privacy intellectual property consumer protection and liability in digital services.","law,digitalization,privacy,business",0.66
C016,AI for Sustainability,TU Wien,4,English,Summer,"Students explore how artificial intelligence and optimization can support energy efficiency resource planning and climate action.","AI,sustainability,optimization,climate",0.55
C017,Urban Food Systems,BOKU,3,English,Both,"The course examines food supply chains urban agriculture nutrition and sustainable city planning.","food systems,sustainability,urban planning,nutrition",0.33
C018,Negotiation and Conflict Management,WU,3,English,Both,"Students practice negotiation strategies mediation basics and conflict resolution for organizational settings.","communication,negotiation,conflict,management",0.71
C019,Human-Computer Interaction,TU Wien,6,English,Winter,"The course covers user-centered design usability evaluation interaction principles and accessible digital interfaces.","design,HCI,usability,accessibility",0.79
C020,Responsible Innovation,Uni Wien,3,English,Summer,"Students discuss ethical reflection stakeholder inclusion and societal impacts in research and innovation processes.","ethics,innovation,society,responsibility",0.42
C021,Sustainable Finance,WU,4,English,Winter,"This course introduces ESG investing climate risk reporting and financial decision-making for sustainable transformation.","finance,sustainability,economics,climate",0.58
C022,Introduction to Circular Economy,BOKU,3,German,Summer,"Students learn circular economy principles material flows waste prevention and sustainable product systems.","circular economy,sustainability,resources,environment",0.47
C023,Science Communication,Uni Wien,3,English,Both,"The course develops skills for explaining scientific results to public audiences through writing talks and media formats.","communication,science,presentation,media",0.53
C024,Data Visualization,TU Wien,3,English,Summer,"Students design visual analytics dashboards and charts for communicating complex data clearly and responsibly.","data,visualization,communication,design",0.74
C025,Behavioral Economics,WU,4,English,Winter,"The course introduces heuristics biases decision-making experiments and applications in markets and public policy.","economics,psychology,decision making,policy",0.67
C026,Ethics of Climate Intervention,Uni Wien,3,English,Winter,"Students examine ethical debates around geoengineering climate justice uncertainty and global responsibility.","ethics,climate,justice,policy",0.29
C027,Green Software Engineering,TU Wien,3,English,Both,"This course covers energy-aware software architecture efficient cloud usage and measurement of digital carbon footprints.","software engineering,sustainability,cloud,energy",0.36
C028,Social Entrepreneurship,WU,3,English,Summer,"Students design mission-driven ventures and evaluate social impact business sustainability and financing options.","entrepreneurship,society,impact,business",0.45
C029,Environmental Psychology,Uni Wien,4,German,Summer,"The course explores human behavior environmental perception behavior change and sustainable lifestyles.","psychology,sustainability,behavior,environment",0.39
C030,Smart Cities and Urban Analytics,TU Wien,6,English,Winter,"Students analyze urban data sensors mobility systems and digital services for smart and sustainable cities.","urban planning,data,smart cities,mobility",0.61
C031,Academic Writing in English,Uni Wien,3,English,Both,"The course supports students in structuring arguments citing sources and writing clear academic texts in English.","writing,language,communication,academic skills",0.64
C032,Technology and Employment Law,WU,3,German,Summer,"Students learn how digital work platforms automation and remote work interact with employment law and regulation.","law,technology,employment,digitalization",0.35
C033,Biodiversity and Ecosystem Services,BOKU,4,English,Winter,"This course introduces biodiversity assessment ecosystem services conservation strategies and environmental trade-offs.","biodiversity,environment,sustainability,ecology",0.43
C034,Creativity and Innovation Methods,TU Wien,3,German,Both,"Students use creative problem-solving methods ideation techniques and prototyping for interdisciplinary innovation.","creativity,innovation,design thinking,teamwork",0.50
C035,Digital Accessibility and Inclusion,Uni Wien,3,English,Summer,"The course covers inclusive design accessibility standards assistive technologies and participation in digital society.","accessibility,inclusion,HCI,ethics",0.31
C036,Quantitative Methods for Social Sciences,WU,6,English,Winter,"Students learn survey analysis regression interpretation and reproducible workflows for social and economic data.","statistics,data science,research methods,economics",0.59
